Rank,Country_Name,Country_Code,continents_name,Growth_Percent
1,Ethiopia,ETH,Africa,0.35875171840014364
2,Sierra Leone,SLE,Africa,0.26725221845788805
3,Uganda,UGA,Africa,0.2503495302705525
4,Papua New Guinea,PNG,Oceania,0.23591878559750534
5,Turkmenistan,TKM,Asia,0.18747225518015465
6,"Venezuela, RB",VEN,South America,0.18649771911402335
7,Kenya,KEN,Africa,0.17823318373923636
8,"Macao SAR, China",MAC,Asia,0.1620510580486787
9,Mongolia,MNG,Asia,0.15462005548933866
10,Tanzania,TZA,Africa,0.14766553320066955
